Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Has A Kinder Garden,Has A Pre K,Grades At The School,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal Name,Geographical District Code,Admin District Location Code,Lat,Lon,Pre K Seats Available,Pre K Applicants,Pre K offers,Pre K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre K Total Enrollment Including Half Day And Full Day,Number of Female Students in Prek,Percentage of Female Students in Prek,Number of Male Students in Prek,Percentage of Male Students in Prek,Number of Asian Students in Prek,Percentage of Asian Students in Prek,Number of Black Students in Prek,Percentage of Black Students in Prek,Number of Hispanic Students in Prek,Percentage of Hispanic Students in Prek,Number of Students with a Race listed as Other in Prek,Percentage of Students with a Race listed as Other in Prek,Number of White Students in Prek,Percentage of White Students in Prek,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
22K255,K255,P.S. 255 Barbara Reing School,332000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",19541,1953,65,996498,159501,315,48,55800,3068210123,BK44,Madison                                                                    ,Kelly McCann,22,K822,40.604461,-73.955891,0,Suppressed for Privacy,Suppressed for Privacy,Suppressed for Privacy,133,305,106,34.75%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,14,6,42.86%,8,57.14%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,8,57.14%,228,51.12%,266,59.11%,NO,16,24.66666,0,0,20.33333,1,ADAPTIVE PHYSICAL EDUCATION,N,Inside,N,YES,YES,116,10594042,0,0,936,142,156,157,146,150,171,0,0,0,0,0,0,0,453,48.40%,483,51.60%,203,21.69%,23,2.46%,95,10.15%,16,1.71%,599,64.00%,151,16.13%,214,22.86%,719,76.82%,0.7139957547,110,587,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-376-8494,"1866 EAST  17 STREET, BROOKLYN NY 11229",2,1,NO,Not Accessible,Yes
22K277,K277,P.S. 277 Gerritsen Beach,332000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",19541,1953,65,1004287,156350,318,46,66600,3085900650,BK99,park-cemetery-etc-Brooklyn                                                 ,Theresa Vlantis,22,K822,40.595798,-73.92785,36,122,36,29.51%,75,179,64,35.75%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,18,8,44.44%,10,55.56%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,15,83.33%,134,67.34%,114,56.72%,NO,14,18,0,0,18,1,GYMNASIUM,N,Inside,N,YES,YES,61.6,5171790,0,0,421,58,60,69,77,71,68,0,0,0,0,0,0,0,201,47.74%,220,52.26%,51,12.11%,10,2.38%,57,13.54%,7,1.66%,296,70.31%,88,20.90%,29,6.89%,219,52.02%,0.3733515441,121,235,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-743-6689,"2529 GERRITSEN AVENUE, BROOKLYN NY 11229",1,0,NO,Not Accessible,Yes
22K312,K312,P.S. 312 Bergen Beach,332000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",24289,1966,52,1009358,166062,318,46,69602,3083930001,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,Sungmin Yoo,22,K822,40.622442,-73.909554,64,216,64,29.63%,125,284,134,47.18%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,51,30,58.82%,21,41.18%,suppressed for privacy concerns,suppressed for privacy concerns,17,33.33%,12,23.53%,suppressed for privacy concerns,suppressed for privacy concerns,15,29.41%,247,65.69%,230,61.01%,NO,22,18,0,0,20,1,DANCE ROOM,N,Inside,N,YES,NO,92,8403174,0,0,792,100,121,127,133,124,136,0,0,0,0,0,0,0,384,48.48%,408,51.52%,35,4.42%,308,38.89%,100,12.63%,22,2.78%,327,41.29%,148,18.69%,32,4.04%,441,55.68%,0.435364902,171,477,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-763-4015,"7103 AVENUE T, BROOKLYN NY 11234",1,1,NO,Not Accessible,No
22K315,K315,P.S. K315,332000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",36273,1999,19,996943,169760,314,45,77200,3075510026,BK42,Flatbush                                                                   ,Judith Ranft,22,K822,40.632619,-73.954269,36,153,36,23.53%,100,234,100,42.74%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,16,44.44%,20,55.56%,suppressed for privacy concerns,suppressed for privacy concerns,12,33.33%,13,36.11%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,112,38.49%,106,35.22%,NO,Redacted for privacy concerns,25.66666,0,0,26,1,DANCE ROOM,Y,Inside,N,NO,NO,90,8008114,0,0,677,108,98,97,126,103,109,0,0,0,0,0,0,0,327,48.30%,350,51.70%,58,8.57%,378,55.83%,189,27.92%,13,1.92%,39,5.76%,172,25.41%,110,16.25%,600,88.63%,0.8080561161,239,462,3,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,718-421-9560,"2310 GLENWOOD ROAD, BROOKLYN NY 11210",1,1,YES,Partially Accessible,No
22K326,K326,P.S. 326,332000000000,DOE,General Academic,Early Childhood,YES,YES,"PK,0K,01,02,SE",36708,2000,18,1004166,168234,318,45,72800,3077750001,BK58,Flatlands                                                                  ,COLLEEN DUCEY,22,K822,40.628417,-73.92825,28,107,28,26.17%,75,115,70,60.87%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,28,10,35.71%,18,64.29%,suppressed for privacy concerns,suppressed for privacy concerns,17,60.71%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,,,,,NO,Redacted for privacy concerns,13.5,0,0,16,0,GYM/AUD/CAFETERIA,N,Inside,Y,NO,NO,29,3064447,0,0,191,45,62,56,0,0,0,0,0,0,0,0,0,0,85,44.50%,106,55.50%,25,13.09%,123,64.40%,31,16.23%,4,2.09%,8,4.19%,48,25.13%,31,16.23%,161,84.29%,0.6992565393,136,162,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-241-4828,"1800 UTICA AVENUE, BROOKLYN NY 11234",1,0,NO,Not Accessible,Yes
22K361,K361,P.S. 361 East Flatbush Early Childhood School,332000000000,DOE,General Academic,Early Childhood,YES,YES,"PK,0K,01,02,SE",36342,1999,19,998952,172651,317,45,83000,3049650001,BK91,East Flatbush-Farragut                                                     ,Tiffany Frazier,22,K822,40.640551,-73.947025,54,115,48,41.74%,100,141,114,80.85%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,50,26,52.00%,24,48.00%,suppressed for privacy concerns,suppressed for privacy concerns,40,80.00%,7,14.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,,,,,NO,Redacted for privacy concerns,24.66666,0,0,23,0,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,NO,NO,91,8276448,0,0,418,109,138,121,0,0,0,0,0,0,0,0,0,0,207,49.52%,211,50.48%,13,3.11%,324,77.51%,58,13.88%,3,0.72%,20,4.78%,78,18.66%,82,19.62%,366,87.56%,0.8455622196,175,339,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,718-856-0600,"1957 NOSTRAND AVENUE, BROOKLYN NY 11210",1,1,NO,Partially Accessible,Yes
22K889,K889,P.S. 889,332000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K",42917,2017,1,992295,174218,312,40,49200,3053420006,BK41,Kensington-Ocean Parkway                                                   ,KATHRYN RYAN ANDERSON,15,K822,40.644861,-73.97101,36,149,36,24.16%,50,191,62,32.46%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,34,17,50.00%,17,50.00%,16,47.06%,suppressed for privacy concerns,suppressed for privacy concerns,7,20.59%,suppressed for privacy concerns,suppressed for privacy concerns,9,26.47%,,,,,NO,0,15.5,0,0,17,1,No Data,No Data,No Data,No Data,NO,NO,15,1330533,0,0,82,48,0,0,0,0,0,0,0,0,0,0,0,0,39,47.56%,43,52.44%,29,35.37%,18,21.95%,15,18.29%,2,2.44%,18,21.95%,6,7.32%,9,10.98%,62,75.61%,0.5938170552,75,67,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,929-397-9171,"21 HINCKLEY PLACE, BROOKLYN NY 11218",No Data,No Data,NO,Fully Accessible,No Data
23K041,K041,P.S. 041 Francis White,332000000000,DOE,General Academic,K-8,YES,NO,"0K,01,02,03,04,05,06,07,08,SE",23924,1965,53,1010073,179912,316,42,91800,3036040001,BK81,Brownsville                                                                ,SHONELLE HALL,23,K823,40.660455,-73.906925,18,66,18,27.27%,50,60,35,58.33%,74,104,52,0.5,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,57,18.63%,52,16.99%,NO,19,0,0,0,21,1,MULTI-PURPOSE CLASSROOM,N,Inside,Y,YES,NO,55,5584778,0,0,457,44,42,41,49,48,52,56,62,63,0,0,0,0,226,49.45%,231,50.55%,2,0.44%,274,59.96%,143,31.29%,23,5.03%,15,3.28%,149,32.60%,35,7.66%,449,98.25%,0.9588336945,68,298,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-7732,"411 THATFORD AVENUE, BROOKLYN NY 11212",2,2,NO,Not Accessible,No
23K137,K137,P.S./I.S. 137 Rachel Jean Mitchell,332000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",913,1902,116,1007370,187849,316,41,37300,3015100001,BK79,Ocean Hill                                                                 ,Suzette Rose,23,K823,40.682248,-73.916641,18,54,18,33.33%,50,67,46,68.66%,46,55,18,0.327272727,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,28,17,60.71%,11,39.29%,suppressed for privacy concerns,suppressed for privacy concerns,23,82.14%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,59,32.60%,36,20.22%,NO,21,11.5,0,0,0,1,GYM/AUDITORIUM,N,Inside,Y,YES,YES,46,4328349,0,0,303,23,31,33,39,35,18,34,29,33,0,0,0,0,157,51.82%,146,48.18%,0,0.00%,227,74.92%,59,19.47%,13,4.29%,4,1.32%,85,28.05%,13,4.29%,282,93.07%,0.877782166,159,233,2,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-453-2926,"121 SARATOGA AVENUE, BROOKLYN NY 11233",1,2,NO,Not Accessible,No
23K150,K150,P.S. 150 Christopher,332000000000,DOE,General Academic,Elementary,YES,NO,"0K,01,02,03,04,05,SE",2739,1907,111,1010565,182941,316,41,90800,3037440009,BK81,Brownsville                                                                ,TRACEY QUARLES,23,K823,40.668768,-73.90514,18,58,10,17.24%,25,77,25,32.47%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,NO,Redacted for privacy concerns,0,0,0,24,1,DANCE ROOM,Y,Inside,N,YES,NO,37,3767289,0,0,171,27,31,26,31,28,28,0,0,0,0,0,0,0,83,48.54%,88,51.46%,1,0.58%,111,64.91%,52,30.41%,4,2.34%,3,1.75%,59,34.50%,15,8.77%,168,98.25%,0.9748713374,62,127,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-7746,"364 SACKMAN STREET, BROOKLYN NY 11212",1,0,YES,Not Accessible,No
23K155,K155,P.S./ I.S. 155 Nicholas Herkimer,332000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",3105,1908,110,1009579,186170,316,37,36900,3015520043,BK79,Ocean Hill                                                                 ,MICHELLE MANNS,23,K823,40.677634,-73.908682,36,76,33,43.42%,50,81,50,61.73%,59,90,36,0.4,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,31,19,61.29%,12,38.71%,suppressed for privacy concerns,suppressed for privacy concerns,9,29.03%,19,61.29%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,56,24.78%,49,21.78%,NO,34,18,0,0,0,0,AUXILIARY EXERCISE ROOM,N,Inside,N,YES,YES,48,5647815,0,0,416,39,40,49,49,41,35,46,52,34,0,0,0,0,208,50.00%,208,50.00%,12,2.88%,213,51.20%,181,43.51%,4,0.96%,6,1.44%,91,21.88%,67,16.11%,404,97.12%,0.9357235432,123,306,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-240-4340,"1355 HERKIMER STREET, BROOKLYN NY 11233",2,2,NO,Not Accessible,Yes
23K156,K156,P.S. 156 Waverly,332000000000,DOE,General Academic,Elementary,YES,NO,"0K,01,02,03,04,05,SE",36342,1999,19,1007032,181766,316,41,90000,3035350016,BK81,Brownsville                                                                ,Naiyma Moore,23,K823,40.665553,-73.91788,46,127,46,36.22%,100,158,102,64.56%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,48,23,47.92%,25,52.08%,suppressed for privacy concerns,suppressed for privacy concerns,37,77.08%,9,18.75%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,74,21.45%,71,20.52%,NO,32,24.33333,0,0,16,0,DANCE ROOM,Y,Inside,N,NO,NO,84,7788431,0,0,714,91,109,109,99,127,131,0,0,0,0,0,0,0,329,46.08%,385,53.92%,6,0.84%,569,79.69%,124,17.37%,9,1.26%,6,0.84%,153,21.43%,8,1.12%,651,91.18%,0.8852941394,533,611,4,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-498-2811,"104 SUTTER AVENUE, BROOKLYN NY 11212",1,0,YES,Fully Accessible,No
23K165,K165,P.S. 165 Ida Posner,332000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,07,SE",4566,1912,106,1008961,178674,316,42,89600,3036220023,BK81,Brownsville                                                                ,Jason Rivers,23,K823,40.657061,-73.910938,36,77,30,38.96%,50,60,33,55.00%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,54,30,55.56%,24,44.44%,suppressed for privacy concerns,suppressed for privacy concerns,40,74.07%,12,22.22%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,23,30.26%,27,35.06%,NO,Redacted for privacy concerns,14,0,0,13,0,DANCE ROOM,N,Inside,N,YES,YES,51.5,6509816,0,0,229,28,22,29,31,30,35,0,0,0,0,0,0,0,105,45.85%,124,54.15%,0,0.00%,181,79.04%,38,16.59%,1,0.44%,9,3.93%,57,24.89%,5,2.18%,206,89.96%,0.9268209338,113,187,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-7759,"76 LOTT AVENUE, BROOKLYN NY 11212",1,0,NO,Not Accessible,No
23K178,K178,P.S. 178 Saint Clair Mckelway,332000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",5661,1915,103,1007734,185347,316,41,30300,3014400056,BK79,Ocean Hill                                                                 ,JOSEPH HENRY,23,K823,40.67538,-73.915337,36,76,32,42.11%,25,90,35,38.89%,51,81,53,0.654320988,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,68,36,52.94%,32,47.06%,suppressed for privacy concerns,suppressed for privacy concerns,52,76.47%,12,17.65%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,54,28.88%,43,22.99%,NO,21,21,0,0,0,1,GYMNASIUM,Y,Inside,N,YES,YES,46,4782129,0,0,377,21,35,28,46,31,38,41,39,30,0,0,0,0,192,50.93%,185,49.07%,7,1.86%,284,75.33%,68,18.04%,6,1.59%,12,3.18%,71,18.83%,21,5.57%,332,88.06%,0.9010928273,142,217,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-7768,"2163 DEAN STREET, BROOKLYN NY 11233",1,3,YES,Not Accessible,No
23K184,K184,P.S. 184 Newport,332000000000,DOE,General Academic,K-8,YES,NO,"0K,01,02,03,04,05,06,07,08,SE",8583,1923,95,1010606,179887,316,42,91800,3036060001,BK81,Brownsville                                                                ,LISA CALDWELL LINDER,23,K823,40.660385,-73.905004,46,58,10,17.24%,75,100,52,52.00%,60,119,48,0.403361345,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,41,21,51.22%,20,48.78%,suppressed for privacy concerns,suppressed for privacy concerns,30,73.17%,10,24.39%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,44,14.77%,36,12.08%,NO,37,19,0,0,16,0,GYMNASIUM,N,Inside,N,YES,YES,84.5,7458704,0,0,567,58,58,86,62,62,49,50,49,52,0,0,0,0,285,50.26%,282,49.74%,1,0.18%,407,71.78%,150,26.46%,5,0.88%,4,0.71%,151,26.63%,23,4.06%,515,90.83%,0.9502609968,175,371,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-7776,"273 NEWPORT STREET, BROOKLYN NY 11212",2,2,NO,Not Accessible,No
23K284,K284,"The Gregory Jocko Jackson School of Sports, Art, a",332000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",2374,1906,112,1009874,182275,316,41,91200,3035440135,BK81,Brownsville                                                                ,Keva Pitts,23,K823,40.666942,-73.907634,18,64,18,28.13%,50,82,50,60.98%,No Data,Suppressed For Privacy,Suppressed For Privacy,Suppressed For Privacy,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,17,8,47.06%,9,52.94%,suppressed for privacy concerns,suppressed for privacy concerns,13,76.47%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,77,24.84%,52,16.77%,NO,34,0,0,0,21.5,1,GYMNASIUM,Y,Inside,N,YES,YES,46,5112036,0,0,474,43,39,41,51,53,56,69,57,48,0,0,0,0,240,50.63%,234,49.37%,0,0.00%,314,66.24%,155,32.70%,2,0.42%,3,0.63%,128,27.00%,45,9.49%,445,93.88%,0.9675042033,101,305,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-7791,"213 OSBORN STREET, BROOKLYN NY 11212",2,2,YES,Not Accessible,No
23K298,K298,P.S. 298 Dr. Betty Shabazz,332000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",22098,1960,58,1009849,183759,316,37,90600,3035070007,BK81,Brownsville                                                                ,Jonathan Dill,23,K823,40.671015,-73.907718,36,91,29,31.87%,50,87,46,52.87%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,57,28,49.12%,29,50.88%,suppressed for privacy concerns,suppressed for privacy concerns,50,87.72%,7,12.28%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,NO,Redacted for privacy concerns,17,0,0,18,1,DANCE ROOM,Y,Inside,N,YES,YES,38.5,4796965,0,0,262,35,40,29,47,30,24,0,0,0,0,0,0,0,127,48.47%,135,51.53%,4,1.53%,188,71.76%,57,21.76%,7,2.67%,6,2.29%,51,19.47%,18,6.87%,258,98.47%,0.9630763531,116,189,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-7793,"85 WATKINS STREET, BROOKLYN NY 11212",0,1,YES,Partially Accessible,No
23K323,K323,P.S./I.S. 323,332000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",36708,2000,18,1008863,181999,316,41,92400,3035420001,BK81,Brownsville                                                                ,LINDA HARRIS,23,K823,40.666187,-73.911279,36,106,36,33.96%,50,98,43,43.88%,69,214,82,0.38317757,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,50,20,40.00%,30,60.00%,suppressed for privacy concerns,suppressed for privacy concerns,47,94.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,73,21.04%,56,16.14%,NO,6,24,0,0,0,0,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,NO,NO,62,6612107,0,0,569,53,58,52,51,61,38,70,65,71,0,0,0,0,304,53.43%,265,46.57%,7,1.23%,441,77.50%,115,20.21%,5,0.88%,1,0.18%,97,17.05%,19,3.34%,530,93.15%,0.9102091193,179,448,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-7781,"210 CHESTER STREET, BROOKLYN NY 11212",2,2,YES,Partially Accessible,No
23K327,K327,P.S. 327 Dr. Rose B. English,332000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,08,SE",24654,1967,51,1008721,182744,316,41,92400,3035200008,BK81,Brownsville                                                                ,Georgette Malcolm,23,K823,40.668232,-73.911788,36,76,21,27.63%,25,83,27,32.53%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,29,21,72.41%,8,27.59%,suppressed for privacy concerns,suppressed for privacy concerns,20,68.97%,6,20.69%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,28,15.56%,22,12.36%,NO,51,28,0,0,0,0,GYM/AUDITORIUM,Y,Inside,Y,YES,YES,55,5621381,0,0,327,28,40,42,43,50,67,0,0,28,0,0,0,0,162,49.54%,165,50.46%,4,1.22%,217,66.36%,94,28.75%,5,1.53%,7,2.14%,79,24.16%,30,9.17%,319,97.55%,0.9380580783,125,287,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-7801,"111 BRISTOL STREET, BROOKLYN NY 11212",2,1,YES,Partially Accessible,No
23K401,K401,Christopher Avenue Community School,332000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",40725,2011,7,1010320,184197,316,37,90800,3036930001,BK81,Brownsville                                                                ,DEON MITCHELL,23,K823,40.672216,-73.906018,36,78,32,41.03%,50,56,27,48.21%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,58,28,48.28%,30,51.72%,suppressed for privacy concerns,suppressed for privacy concerns,40,68.97%,18,31.03%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,28,30.43%,NO,0,17,0,0,0,1,MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y,NO,NO,58,5034518,0,0,302,41,38,55,43,35,32,0,0,0,0,0,0,0,144,47.68%,158,52.32%,0,0.00%,199,65.89%,99,32.78%,2,0.66%,2,0.66%,62,20.53%,12,3.97%,295,97.68%,0.9528079629,170,221,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-495-5761,"51 CHRISTOPHER AVENUE, BROOKLYN NY 11212",1,1,YES,Partially Accessible,No
23K446,K446,Riverdale Avenue Community School,332000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",41091,2012,6,1008247,179605,316,42,89600,3035970011,BK81,Brownsville                                                                ,Meghan Dunn,23,K823,40.659618,-73.913508,54,74,22,29.73%,50,108,52,48.15%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,34,17,50.00%,17,50.00%,suppressed for privacy concerns,suppressed for privacy concerns,25,73.53%,9,26.47%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,NO,63,20.5,0,0,0,1,GYMNASIUM,Y,Inside,N,NO,NO,52,5301966,0,0,347,44,56,51,64,52,46,0,0,0,0,0,0,0,173,49.86%,174,50.14%,6,1.73%,256,73.78%,75,21.61%,5,1.44%,5,1.44%,79,22.77%,22,6.34%,328,94.52%,0.9405965209,145,262,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,718-485-1679,"76 RIVERDALE AVENUE, BROOKLYN NY 11212",0,1.58,YES,Not Accessible,No
