Object Code Number,Object Code Name,Description of Code Name
772,New  York  City  Transit  Authority  -  Reduced  Fares for Schoolchildren,Charge to this account payments made to the New York City Transit Authority for transportation of pupils to and from public and non-public schools in carriers operated by the Transit Authority. Payment in this code represents the difference between the total cost of transportation and the amount the pupil pays toward the total cost.
773,Private   Bus   Companies   -  Reduced   Fares for Schoolchjldren,Charge to this account payments made to private bus lines for transportation of pupils to and from public and non-public schools in carriers operated by private transportation companies. Payment in this code represents the difference between the total cost of transportation and the amount the pupil pays toward the total cost.
776,Payments to Metropoljtan Transportation Authority,Charge to this account payments made to the Metropolitan Transportation Authority to fulfill terms of the Commuter Railroad Operating Assistance Match.
778,PAYMNTS PRIVATE BUS COMPANIES,Payments to private bus companies
780,Campaign Finances,Charge to this account all payments made to those persons enrolled inthe campaign finance program and who are running for City-wide public office.
782,Unallocated Contingency Reserve,Funds are appropriated to this account as a reserve for unanticipated revenue shortfalls or expenditure overruns during the course of the fiscal year. This account cannot be charged directly.
790,TRANSFERS TO OTHER FUNDS,Transfers to other funds
791,Tuition Payments to Other School Districts,Charge to this account payments made by the Board of Education to other school systems for tuition costs of pupils who are legal residents of New York  City.
793,Payments  to Fashion Institute  of Technology,Charge to this account payments made by the Board of Education as sponsoring agent on behalf of the Fashion  Institute  of Technology.
794,Training Program for City Employees,Charge to this account all expenditures in connection with the training of City employees in the performance of their duties by City employees.
796,PMTS DEPUTY STATE COMPTROLLER,Payments to Deputy State Comptroller
797,SALES TAX  REVENUES ALLOCATED TO FCB,Sales tax revenues allocated to Financial Control Board
810,Interest on Bonds - General,"Charge to this account amounts transferred to the Debt Service Fund for the payment of interest on general obligation bonds for purposes other than those in accounts #811,#812, #813 and #814."
830,Interest on Notes - Funded Debt,Charge to this account amounts transferred to the Debt Service Fund for the payment of interest on short-term obligations issued within the 2 1/2 percent tax limitation.
850,Redemption of General Obligation Bonds - General,"Charge to this account amounts transferred to the Debt Service Fund to redeem general obligation bonds issued for purposes other than those specified in accounts #848, #849, #852 and #854."
870,Blended Component Units,Charge to this account amounts required to pay lease payments to blended component units.
999,Other Than Personal Services Holding Code,For default purposes only.
10E,AUTOMOTIVE SUPPLIES & MATERIAL,Automotice supplies and materials
10F,MOTOR VEHICLE FUEL,Motor vehicle fuel
10X,SUPPLIES + MATERIALS - GENERAL,Supplies and materials
11X,FOOD & FORAGE SUPPLIES,Food and forage supplies
40B,TELEPHONE & OTHER COMMUNICATNS,Telephone and other communications
40G,MAINT & REP OF MOTOR VEH EQUIP,Maintenance and repair of motor vehicle equipment
40X,CONTRACTUAL SERVICES-GENERAL,All expenditures that are personal services or technical not otherwise classified under a specific contractual services account.
41B,RENTALS OF MISC.EQUIP,Rental of miscellaneous equipment
41D,RENTALS - LAND BLDGS & STRUCTS,"Rental of land, buildings and structures"
42C,HEAT LIGHT & POWER,"Heat, light, and power"
42G,DATA PROCESSING SERVICES,Data processing services
46X,SPECIAL EXPENSE,Special expense
50D,DIRECT FOSTER CARE OF CHILDREN,Direct foster care of children
50I,NON-GRANT CHARGES,Non-grant charges
50X,SOCIAL SERVICES - GENERAL,Social services
51A,AIDS SERVICES,"Payments to providers providing housing, counseling, testing, education, social services and other miscellaneous items relevant to serving persons with AIDS and HIV illness."
51B,EMPLOYMENT SERVICES,"Assistance in finding employment through job placement, job training, work experience programs, provision of children's day care and other related services."
51D,AID TO DEPENDENT CHILDREN-FAMILY ASSIST.,Income support aid to families with children
51F,PAYMENTS FOR HOME RELIEF-SAFETY NET,Payments for home relief - safety net
51X,HOMELESS FAMILY SERVICES,"Payments to providers for resources such as food, security, medical services and other miscellaneous support items to homeless families residing in emergency or transitional settings."
53B,MENTAL HEALTH SERVICES HHC,Mental health services Health and Hospitals Corporation
55B,DAY CARE OF CHILDREN,"Payments to providers made for the day care services for children where the parents or guardians are unavailable or unable to care for the child during the day or a portion of the day, as well as payments made for rent and utility costs at directly based sites, centrally purchased insurance costs, program related audits and infrastructure upkeep of day care centers."
79D,TRAINING CITY EMPLOYEES,Training City employees
X41,PY ASSIGNMENT DIFFERENTIAL,"A payment above base pay, based on performing specific or unique tasks"
X42,PY LONGEVITY DIFFERENTIAL,"A payment above base pay, based on years of service"
X43,PY SHIFT DIFFERENTIAL,Extra compensation received for hours worked  are outside 8AM-5PM (or typical working hours)
X45,PY HOLIDAY PAY,Holiday pay
X46,PY TERMINAL LEAVE,Terminal leave or remainder of leave payments
X47,PY OVERTIME,Overtime pay
X56,PY EARLY RET. TERMINAL LEAVE..,Early retirement terminal leave
X57,BONUS- NONPENSIONABLE,Bonus Payments Nonpensionable
(blank),,
