Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
"Computers, Equipment and Furniture",District 30  Elizabeth Crowley,"Arts, Culture & Community Facilities","Computers, Equipment and Furniture",,36000,b,,,,36000
Train Countdown Clocks,District 31  Donovan Richards,Transit,Train Countdown Clocks,,150000,b,,,,150000
Auditorium Upgrade in P.S. 183Q,District 31  Donovan Richards,Education,Auditorium Upgrade in P.S. 183Q,,500000,b,,,,500000
Classroom Upgrade in P.S. 183Q,District 31  Donovan Richards,Education,Classroom Upgrade in P.S. 183Q,,250000,b,,,,250000
Designing a Track in the School Yard,District 31  Donovan Richards,Education,Designing a Track in the School Yard,,500000,b,,,,500000
Far Rockaway High School Library Upgrade,District 31  Donovan Richards,Education,Far Rockaway High School Library Upgrade,,250000,b,,,,250000
Gymnasium Upgrade in P.S. 183Q,District 31  Donovan Richards,Education,Gymnasium Upgrade in P.S. 183Q,,300000,b,,,,300000
Locker Room Renovations,District 31  Donovan Richards,Education,Locker Room Renovations,,500000,b,,,,500000
M.S 53 Technology Upgrades,District 31  Donovan Richards,Education,M.S 53 Technology Upgrades,,250000,b,,,,250000
M.S.53 Technology Upgrade,District 31  Donovan Richards,Education,M.S.53 Technology Upgrade,,75000,b,,,,75000
New Smart Boards,District 31  Donovan Richards,Education,New Smart Boards,,75000,b,,,,75000
New Weight Room,District 31  Donovan Richards,Education,New Weight Room,,200000,b,,,,200000
P.S.106 Technology Upgrade,District 31  Donovan Richards,Education,P.S.106 Technology Upgrade,,75000,b,,,,75000
Security Cameras,District 31  Donovan Richards,Education,Security Cameras,,250000,b,,,,250000
Rockaway Institute for a Sustainable Environment,District 31  Donovan Richards,"Arts, Culture & Community Facilities",Rockaway Institute for a Sustainable Environment,,273732,b,,,,273732
Median Repair on Rockaway Beach Boulevard,District 32  Eric Ulrich,Transit,Median Repair on Rockaway Beach Boulevard,,200000,b,,,,200000
Badminton Courts along Shore Front Parkway,District 32  Eric Ulrich,Parks & Recreation,Badminton Courts along Shore Front Parkway,,350000,b,,,,350000
Bathroom Repair at Beach 106th St,District 32  Eric Ulrich,Parks & Recreation,Bathroom Repair at Beach 106th St,,200000,b,,,,200000
Boardwalk Amenities,District 32  Eric Ulrich,Parks & Recreation,Boardwalk Amenities,,50000,b,,,,50000
Exercise Equipment along Shore Front Parkway,District 32  Eric Ulrich,Parks & Recreation,Exercise Equipment along Shore Front Parkway,,200000,b,,,,200000
Rock Climbing Wall at Boardwalk,District 32  Eric Ulrich,Parks & Recreation,Rock Climbing Wall at Boardwalk,,200000,b,,,,200000
Upgrades to 17th Road Park,District 32  Eric Ulrich,Parks & Recreation,Upgrades to 17th Road Park,,250000,b,,,,250000
Upgrades to All-American Park/Sunset Cove,District 32  Eric Ulrich,Parks & Recreation,Upgrades to All-American Park/Sunset Cove,,200000,b,,,,200000
Upgrades to 5 Schools,District 32  Eric Ulrich,Education,Upgrades to 5 Schools,,435000,b,,,,435000
Additional Turnstiles at York St. Subway (F Train),District 33  Stephen Levin,Transit,Additional Turnstiles at York St. Subway (F Train),,250000,b,,,,250000
Pedestrian Safety Improvements - Meeker Avenue,District 33  Stephen Levin,Streets,Pedestrian Safety Improvements - Meeker Avenue,,400000,b,,,,400000
Real Time Arrival Signage for B44 Bus Route,District 33  Stephen Levin,Streets,Real Time Arrival Signage for B44 Bus Route,,300000,b,,,,300000
Safer Crossings for Hoyt Street at Gowanus Houses,District 33  Stephen Levin,Streets,Safer Crossings for Hoyt Street at Gowanus Houses,,400000,b,,,,400000
Street Safety Improvements near P.S.16,District 33  Stephen Levin,Streets,Street Safety Improvements near P.S.16,,400000,b,,,,400000
Fix Taaffe Park: Community Seating Area,District 33  Stephen Levin,Parks & Recreation,Fix Taaffe Park: Community Seating Area,,500000,b,,,,500000
Make Msgr. McGolrick Park Safer,District 33  Stephen Levin,Parks & Recreation,Make Msgr. McGolrick Park Safer,,500000,b,,,,500000
"Safe to Play, Green Playground at M.S. 126",District 33  Stephen Levin,Parks & Recreation,"Safe to Play, Green Playground at M.S. 126",,500000,b,,,,500000
Hear the Beat! Community Sound Studio,District 33  Stephen Levin,Housing,Hear the Beat! Community Sound Studio,,100000,b,,,,100000
NYCHA Grounds Renovations Focused on Seating,District 33  Stephen Levin,Housing,NYCHA Grounds Renovations Focused on Seating,,550000,b,,,,550000
Essential STEM Labs at I.S 318 and P.S 34,District 33  Stephen Levin,Education,Essential STEM Labs at I.S 318 and P.S 34,,500000,b,,,,500000
Finish the Upgrades with P.S. 261 Computer Carts,District 33  Stephen Levin,Education,Finish the Upgrades with P.S. 261 Computer Carts,,140000,b,,,,140000
Let There Be Air! Juan Morel Campos School,District 33  Stephen Levin,Education,Let There Be Air! Juan Morel Campos School,,350000,b,,,,350000
Make Our School Cool! M.S. 126,District 33  Stephen Levin,Education,Make Our School Cool! M.S. 126,,400000,b,,,,400000
"Sweating Should Be Fun! K293, Int'l Studies",District 33  Stephen Levin,Education,"Sweating Should Be Fun! K293, Int'l Studies",,350000,b,,,,350000
Real Time Passenger Boards,District 34  Antonio Reynoso,Transit,Real Time Passenger Boards,,60000,b,,,,60000
Repaving our Bushwick Parks,District 34  Antonio Reynoso,Parks & Recreation,Repaving our Bushwick Parks,,500000,b,,,,500000
Grounds Renovation at Bushwick Houses,District 34  Antonio Reynoso,Housing,Grounds Renovation at Bushwick Houses,,200000,b,,,,200000
Playground Upgrade at Williamsburg Houses,District 34  Antonio Reynoso,Housing,Playground Upgrade at Williamsburg Houses,,350000,b,,,,350000
21st Century Technology at P.S. 120 and P.S. 132,District 34  Antonio Reynoso,Education,21st Century Technology at P.S. 120 and P.S. 132,,285000,b,,,,285000
A Cool Gym at P.S. 257,District 34  Antonio Reynoso,Education,A Cool Gym at P.S. 257,,250000,b,,,,250000
Auditorium Facelift at P.S. 147,District 34  Antonio Reynoso,Education,Auditorium Facelift at P.S. 147,,400000,b,,,,400000
Technology Upgrades at P.S. 239 and P.S. 18,District 34  Antonio Reynoso,Education,Technology Upgrades at P.S. 239 and P.S. 18,,400000,b,,,,400000
Visual Arts Classroom Upgrade,District 34  Antonio Reynoso,Education,Visual Arts Classroom Upgrade,,200000,b,,,,200000
Electrify our Libraries in District 34,District 34  Antonio Reynoso,"Arts, Culture & Community Facilities",Electrify our Libraries in District 34,,360000,b,,,,360000
Upgrade to Activity Rooms,District 34  Antonio Reynoso,"Arts, Culture & Community Facilities",Upgrade to Activity Rooms,,200000,b,,,,200000
Upgrade to Activity Rooms in District 34,District 34  Antonio Reynoso,"Arts, Culture & Community Facilities",Upgrade to Activity Rooms in District 34,,600000,b,,,,600000
Real-Time Information Signs: B65 & B44 Passengers,District 35  Laurie Cumbo,Transit,Real-Time Information Signs: B65 & B44 Passengers,,160000,b,,,,160000
Bump Out at Washington Avenue and Dean Street,District 35  Laurie Cumbo,Streets,Bump Out at Washington Avenue and Dean Street,,300000,b,,,,300000
Bus Pads on Fulton Street,District 35  Laurie Cumbo,Streets,Bus Pads on Fulton Street,,220000,b,,,,220000
President Street Bump-Outs,District 35  Laurie Cumbo,Streets,President Street Bump-Outs,,300000,b,,,,300000
Security Cameras in Precincts 71 and 78,District 35  Laurie Cumbo,Streets,Security Cameras in Precincts 71 and 78,,210000,b,,,,210000
Security Cameras in Precincts 88 and 77,District 35  Laurie Cumbo,Streets,Security Cameras in Precincts 88 and 77,,210000,b,,,,210000
Basketball Court Renovation at Atlantic Terminal,District 35  Laurie Cumbo,Housing,Basketball Court Renovation at Atlantic Terminal,,350000,b,,,,350000
Basketball Court Renovation at Lafayette Gardens,District 35  Laurie Cumbo,Housing,Basketball Court Renovation at Lafayette Gardens,,350000,b,,,,350000
Basketball Court Renovation at Whitman Houses,District 35  Laurie Cumbo,Housing,Basketball Court Renovation at Whitman Houses,,350000,b,,,,350000
Grounds Renovation,District 35  Laurie Cumbo,Housing,Grounds Renovation,,500000,b,,,,500000
Grounds Renovation,District 35  Laurie Cumbo,Housing,Grounds Renovation,,500000,b,,,,500000
Grounds Renovation,District 35  Laurie Cumbo,Housing,Grounds Renovation,,500000,b,,,,500000
HVAC System for the Willoughby Senior Center,District 35  Laurie Cumbo,Housing,HVAC System for the Willoughby Senior Center,,500000,b,,,,500000
Renovation of Farragut Community Center Entrance,District 35  Laurie Cumbo,Housing,Renovation of Farragut Community Center Entrance,,500000,b,,,,500000
Renovation to Willoughby Senior Center Entrance,District 35  Laurie Cumbo,Housing,Renovation to Willoughby Senior Center Entrance,,500000,b,,,,500000
"Safety Upgrades in Farragut Housing Development",District 35  Laurie Cumbo,Housing,"Safety Upgrades in Farragut Housing Development",,500000,b,,,,500000
Learning Walls for P.S. 20,District 35  Laurie Cumbo,Education,Learning Walls for P.S. 20,,36500,b,,,,36500
New Technology for High-Need Schools: PS 375 & 532,District 35  Laurie Cumbo,Education,New Technology for High-Need Schools: PS 375 & 532,,310000,b,,,,310000
Renovate Decrepit Bathrooms at PS 9 & PS 316,District 35  Laurie Cumbo,Education,Renovate Decrepit Bathrooms at PS 9 & PS 316,,300000,b,,,,300000
Goodbye to Sidewalk Cracks,District 36  Robert Cornegy,Streets,Goodbye to Sidewalk Cracks,,85000,b,,,,85000
Pedestrian Safety at Marcy Ave. and Myrtle Ave.,District 36  Robert Cornegy,Streets,Pedestrian Safety at Marcy Ave. and Myrtle Ave.,,300000,b,,,,300000
A Top-Notch Dog Run for District 36,District 36  Robert Cornegy,Parks & Recreation,A Top-Notch Dog Run for District 36,,650000,b,,,,650000
Upgrade Brower Park Basketball Courts,District 36  Robert Cornegy,Parks & Recreation,Upgrade Brower Park Basketball Courts,,600000,b,,,,600000
Upgrade Hattie Carthan Playground Handball Courts,District 36  Robert Cornegy,Parks & Recreation,Upgrade Hattie Carthan Playground Handball Courts,,400000,b,,,,400000
Security Cameras for Albany Houses,District 36  Robert Cornegy,Housing,Security Cameras for Albany Houses,,750000,b,,,,750000
Security Cameras for Marcy Houses Senior Buildings,District 36  Robert Cornegy,Housing,Security Cameras for Marcy Houses Senior Buildings,,750000,b,,,,750000
4 Science Carts for Bed-Stuy New Beginnings,District 36  Robert Cornegy,Education,4 Science Carts for Bed-Stuy New Beginnings,,248000,b,,,,248000
Dance Studio at P.S. 3,District 36  Robert Cornegy,Education,Dance Studio at P.S. 3,,200000,b,,,,200000
New Laptops for P.S. 59,District 36  Robert Cornegy,Education,New Laptops for P.S. 59,,70000,b,,,,70000
Smartboards for Smart Kids!,District 36  Robert Cornegy,Education,Smartboards for Smart Kids!,,320000,b,,,,320000
Renovate and Upgrade Marcy Library Auditorium,District 36  Robert Cornegy,"Arts, Culture & Community Facilities",Renovate and Upgrade Marcy Library Auditorium,,350000,b,,,,350000
Community Board 6 Repair and Resurfacing,District 38  Carlos Menchaca,Transit,Community Board 6 Repair and Resurfacing,,250000,b,,,,250000
"Electronic ""Locator"" Sign throughout the District ",District 38  Carlos Menchaca,Transit,"Electronic ""Locator"" Sign throughout the District ",,600000,b,,,,600000
Brooklyn Community Board 7,District 38  Carlos Menchaca,Streets,Brooklyn Community Board 7,,250000,b,,,,250000
Community Board 12 Street Repair and Resurfacing,District 38  Carlos Menchaca,Streets,Community Board 12 Street Repair and Resurfacing,,250000,b,,,,250000
Sunset Park Renovation,District 38  Carlos Menchaca,Parks & Recreation,Sunset Park Renovation,,500000,b,,,,500000
Basketball Court at 31 Centre Mall,District 38  Carlos Menchaca,Housing,Basketball Court at 31 Centre Mall,,425000,b,,,,425000
Senior Center Yard Ground Beatifications,District 38  Carlos Menchaca,Housing,Senior Center Yard Ground Beatifications,,500000,b,,,,500000
New Tree with Tree Guards,District 38  Carlos Menchaca,Environment,New Tree with Tree Guards,,260000,b,,,,260000
Air Conditioning Wiring,District 38  Carlos Menchaca,Education,Air Conditioning Wiring,,120000,b,,,,120000
Auditorium Upgrade for M.S. 88 and M.S.136,District 38  Carlos Menchaca,Education,Auditorium Upgrade for M.S. 88 and M.S.136,,375000,b,,,,375000
Library Update,District 38  Carlos Menchaca,Education,Library Update,,450000,b,,,,450000
Science Upgrade for MS.821 & IS.136,District 38  Carlos Menchaca,Education,Science Upgrade for MS.821 & IS.136,,1000000,b,,,,1000000
South Brooklyn Community H.S.& P.S.169 Upgrades,District 38  Carlos Menchaca,Education,South Brooklyn Community H.S.& P.S.169 Upgrades,,380000,b,,,,380000
Bus Clocks on B67/B69: Know When Bus Arrives!,District 39  Brad Lander,Transit,Bus Clocks on B67/B69: Know When Bus Arrives!,,240000,b,,,,240000
Curb Extension & Safer Crossing- Carroll Park,District 39  Brad Lander,Streets,Curb Extension & Safer Crossing- Carroll Park,,150000,b,,,,150000
Pedestrian Safety: Curb Ext. on Columbia St.,District 39  Brad Lander,Streets,Pedestrian Safety: Curb Ext. on Columbia St.,,150000,b,,,,150000
Replace Cross-Hatch with Concrete on PPSW,District 39  Brad Lander,Streets,Replace Cross-Hatch with Concrete on PPSW,,500000,b,,,,500000
Brand New Dog Run: Areas for Big and Small Dogs,District 39  Brad Lander,Parks & Recreation,Brand New Dog Run: Areas for Big and Small Dogs,,135000,b,,,,135000
"New 'Lake Mess Monster,' an Aquatic Weed Harvester",District 39  Brad Lander,Parks & Recreation,"New 'Lake Mess Monster,' an Aquatic Weed Harvester",,140000,b,,,,140000
"Year-Round, Freeze-Resistant Drinking Fountains",District 39  Brad Lander,Parks & Recreation,"Year-Round, Freeze-Resistant Drinking Fountains",,175000,b,,,,175000
PS 124 Dye Garden/Makerspace STEAM Enrichments,District 39  Brad Lander,Education,PS 124 Dye Garden/Makerspace STEAM Enrichments,,125000,b,,,,125000
Retrofit 75 Auditorium Lights for Safety,District 39  Brad Lander,Education,Retrofit 75 Auditorium Lights for Safety,,200000,b,,,,200000
West Brooklyn Community HS Portable Laptop Lab,District 39  Brad Lander,Education,West Brooklyn Community HS Portable Laptop Lab,,105000,b,,,,105000
"""Mobile Studios"" for Artists and Orgs in Gowanus",District 39  Brad Lander,"Arts, Culture & Community Facilities","""Mobile Studios"" for Artists and Orgs in Gowanus",,150000,b,,,,150000
Beautify Outdoor Space at Borough Park Library,District 39  Brad Lander,"Arts, Culture & Community Facilities",Beautify Outdoor Space at Borough Park Library,,350000,b,,,,350000
Create Teen Space at Carroll Gardens Library,District 39  Brad Lander,"Arts, Culture & Community Facilities",Create Teen Space at Carroll Gardens Library,,350000,b,,,,350000
Little Red Riding Hood Pre-K Sidewalk Extension,District 40  Matthieu Eugene,Transit,Little Red Riding Hood Pre-K Sidewalk Extension,,300000,b,,,,300000
Montessori School Sidewalk Extension,District 40  Matthieu Eugene,Transit,Montessori School Sidewalk Extension,,300000,b,,,,300000
P.S. 92 Sidewalk Extension,District 40  Matthieu Eugene,Transit,P.S. 92 Sidewalk Extension,,300000,b,,,,300000
Real-Time Passenger Information,District 40  Matthieu Eugene,Transit,Real-Time Passenger Information,,20000,b,,,,20000
Community Barbecue Sites in Prospect Park,District 40  Matthieu Eugene,Parks & Recreation,Community Barbecue Sites in Prospect Park,,80000,b,,,,80000
Kensington Dog Run,District 40  Matthieu Eugene,Parks & Recreation,Kensington Dog Run,,135000,b,,,,135000
Replacement of 'Lake Mess Monster',District 40  Matthieu Eugene,Parks & Recreation,Replacement of 'Lake Mess Monster',,140000,b,,,,140000
Computer Lab Updates for Local Schools,District 40  Matthieu Eugene,Education,Computer Lab Updates for Local Schools,,35000,b,,,,35000
Gymnasium Upgrades at Erasmus High School,District 40  Matthieu Eugene,Education,Gymnasium Upgrades at Erasmus High School,,150000,b,,,,150000
Smartboards for P.S. 92,District 40  Matthieu Eugene,Education,Smartboards for P.S. 92,,175000,b,,,,175000
Technology Updates for M.S. 2 Parkside Academy,District 40  Matthieu Eugene,Education,Technology Updates for M.S. 2 Parkside Academy,,35000,b,,,,35000
Greenhouse Renovations at Murrow High School,District 44  David Greenfield,Youth,Greenhouse Renovations at Murrow High School,,300000,b,,,,300000
B16 Count Down Clock,District 44  David Greenfield,Transit,B16 Count Down Clock,,200000,b,,,,200000
Street Resurfacing,District 44  David Greenfield,Transit,Street Resurfacing,,200000,b,,,,200000
Hauslter Truck for Community Board 14,District 44  David Greenfield,Sanitation,Hauslter Truck for Community Board 14,,167000,b,,,,167000
Hatzolah Mobile Command Center,District 44  David Greenfield,Public Safety,Hatzolah Mobile Command Center,,250000,b,,,,250000
Safety & Security Enhancements at Mapelton Library,District 44  David Greenfield,Public Safety,Safety & Security Enhancements at Mapelton Library,,200000,b,,,,200000
Safety & Security Enhancements at Midwood Library,District 44  David Greenfield,Public Safety,Safety & Security Enhancements at Midwood Library,,200000,b,,,,200000
Security Cameras in Bensonhurst,District 44  David Greenfield,Public Safety,Security Cameras in Bensonhurst,,200000,b,,,,200000
Van for the Auxiliary NYPD Police Squad,District 44  David Greenfield,Public Safety,Van for the Auxiliary NYPD Police Squad,,70000,b,,,,70000
Beautify Midwood,District 44  David Greenfield,Parks & Recreation,Beautify Midwood,,170000,b,,,,170000
Beth Jacob UPK Roof Top Jungle,District 44  David Greenfield,Education,Beth Jacob UPK Roof Top Jungle,,250000,b,,,,250000
OHEL,District 44  David Greenfield,"Arts, Culture & Community Facilities",OHEL,,500000,b,,,,500000
Therapuetic Center at Muishkon Division,District 44  David Greenfield,"Arts, Culture & Community Facilities",Therapuetic Center at Muishkon Division,,225000,b,,,,225000
Repair Gym at PS/IS 109,District 45  Jumaane Williams,Youth,Repair Gym at PS/IS 109,,75000,b,,,,75000
Repair School Yard at PS/IS 109,District 45  Jumaane Williams,Youth,Repair School Yard at PS/IS 109,,500000,b,,,,500000
Update Cafeteria at THS,District 45  Jumaane Williams,Youth,Update Cafeteria at THS,,400000,b,,,,400000
Upgrade Field and Bathrooms at THS Track,District 45  Jumaane Williams,Youth,Upgrade Field and Bathrooms at THS Track,,300000,b,,,,300000
Upgrade Field Lockers at THS Campus,District 45  Jumaane Williams,Youth,Upgrade Field Lockers at THS Campus,,250000,b,,,,250000
Vision Zero/Safe Routes to Schools ' PS 361,District 45  Jumaane Williams,Youth,Vision Zero/Safe Routes to Schools ' PS 361,,300000,b,,,,300000
Vision Zero/New Bus Pads,District 45  Jumaane Williams,Transit,Vision Zero/New Bus Pads,,350000,b,,,,350000
Fix Our Streets in Community Board 14,District 45  Jumaane Williams,Streets,Fix Our Streets in Community Board 14,,500000,b,,,,500000
Safety Upgrade for THS Campus,District 45  Jumaane Williams,Public Safety,Safety Upgrade for THS Campus,,250000,b,,,,250000
Upgrade Safety Cameras at Glenwood Houses,District 45  Jumaane Williams,Public Safety,Upgrade Safety Cameras at Glenwood Houses,,500000,b,,,,500000
Vision Zero/Safe Routes to Schools ' PS 208,District 45  Jumaane Williams,Public Safety,Vision Zero/Safe Routes to Schools ' PS 208,,300000,b,,,,300000
Tech Upgrade at PS 208,District 45  Jumaane Williams,Education,Tech Upgrade at PS 208,,100000,b,,,,100000
Technology Upgrade for THS Campus,District 45  Jumaane Williams,Education,Technology Upgrade for THS Campus,,250000,b,,,,250000
Update THS Campus Auditorium,District 45  Jumaane Williams,Education,Update THS Campus Auditorium,,100000,b,,,,100000
Upgrade PA in Gym 3 at THS Campus,District 45  Jumaane Williams,Education,Upgrade PA in Gym 3 at THS Campus,,75000,b,,,,75000
Bus Countdown Clocks,District 47  Mark Treyger,Transit,Bus Countdown Clocks,,100000,b,,,,100000
McDonald Playground - Reconstruction,District 47  Mark Treyger,Parks & Recreation,McDonald Playground - Reconstruction,,500000,b,,,,500000
Playground Renovation - Scarangella Playground,District 47  Mark Treyger,Parks & Recreation,Playground Renovation - Scarangella Playground,,300000,b,,,,300000
Surf Playground,District 47  Mark Treyger,Parks & Recreation,Surf Playground,,300000,b,,,,300000
Marlboro Houses - Security Improvements,District 47  Mark Treyger,Housing,Marlboro Houses - Security Improvements,,150000,b,,,,150000
Technology in Elementary Schools,District 47  Mark Treyger,Education,Technology in Elementary Schools,,200000,b,,,,200000
Technology in High Schools,District 47  Mark Treyger,Education,Technology in High Schools,,150000,b,,,,150000
Technology in Middle Schools,District 47  Mark Treyger,Education,Technology in Middle Schools,,150000,b,,,,150000
